EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictName,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,LUCIA IANNANTUONO,GPO,1206,0.068993135,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,SARAH JAMA,NDP,9477,0.542162471,5935,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,DEIRDRE PIKE,LIB,3542,0.202631579,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,PETE WIESNER,PCP,2690,0.15389016,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,NATHALIE XIAN YI YAN,IND,51,0.00291762,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,LEE WEISS VASSOR,NBO,148,0.008466819,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,MARK SNOW,LTN,109,0.006235698,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,MATTHEW LINGARD,IND,98,0.005606407,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,JOHN TURMEL,IND,38,0.002173913,0,0
2023 Provincial By-Election (036),Élection partielle provinciale (036),0,36,Hamilton Centre,RYAN LEVERTON,HAMILTON,2023-Mar-16,Andrea Horwath,PETER HOUSE,ERO,121,0.006922197,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,43,Kanata—Carleton,RICHARD DEROUIN,Ottawa,2023-Jul-27,Merrilee Fullerton,KAREN MCCRIMMON,LIB,11214,0.346560356,798,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,43,Kanata—Carleton,RICHARD DEROUIN,Ottawa,2023-Jul-27,Merrilee Fullerton,SEAN WEBSTER,PCP,10416,0.321898758,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,95,Scarborough—Guildwood,DARRYL D'SOUSA,Toronto (Scarborough),2023-Jul-27,Mitzie Hunter,GARY CRAWFORD,PCP,4562,0.295657809,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,43,Kanata—Carleton,RICHARD DEROUIN,Ottawa,2023-Jul-27,Merrilee Fullerton,MELISSA COENRAAD,NDP,9560,0.295444712,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,95,Scarborough—Guildwood,DARRYL D'SOUSA,Toronto (Scarborough),2023-Jul-27,Mitzie Hunter,ANDREA HAZELL,LIB,5640,0.365521711,1078,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,43,Kanata—Carleton,RICHARD DEROUIN,Ottawa,2023-Jul-27,Merrilee Fullerton,STEVEN WARREN,GPO,442,0.013659682,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,95,Scarborough—Guildwood,DARRYL D'SOUSA,Toronto (Scarborough),2023-Jul-27,Mitzie Hunter,DANIELLE HEIGHT,NBO,151,0.009786131,0,0
2023 Provincial By-elections (043/095),Élections partielle provinciale (043/095),0,95,Scarborough—Guildwood,DARRYL D'SOUSA,Toronto (Scarborough),2023-Jul-27,Mitzie Hunter,TARA MCMAHON,GPO,146,0.009462087,0,0
